[ 2273.52275224]
[ 2262.41291502]
[ 2257.48835577]
[ 2255.07257732]
[ 2253.7691094]
[ 2252.98534124]
[ 2252.50829149]
[ 2252.18527067]
[ 2251.96981625]
[ 2251.81588554]
[ 2251.70514445]
[ 2251.62400671]
[ 2251.56257842]
[ 2251.51594061]
[ 2251.47989196]
[ 2251.45213397]
[ 2251.43046327]
[ 2251.41348784]
[ 2251.40010726]
[ 2251.38955437]
[ 2251.38119876]
[ 2251.37456825]
[ 2251.36929976]
[ 2251.36511605]
[ 2251.36178095]
[ 2251.35912237]
[ 2251.35700163]
[ 2251.35530858]
[ 2251.3539571]
[ 2251.35287724]
[ 2251.35201441]
[ 2251.35132481]
[ 2251.3507735]
[ 2251.35033272]
[ 2251.34998027]
[ 2251.3496984]
[ 2251.34947298]
[ 2251.34929269]
[ 2251.34914849]
[ 2251.34903314]
[ 2251.34894088]
[ 2251.34886707]
[ 2251.34880803]
[ 2251.34876081]
[ 2251.34872303]
[ 2251.3486928]
[ 2251.34866862]
[ 2251.34864928]
[ 2251.34863381]
[ 2251.34862143]
[ 2251.34861153]
[ 2251.34860361]
[ 2251.34859727]
[ 2251.3485922]
[ 2251.34858814]
[ 2251.3485849]
[ 2251.3485823]
[ 2251.34858023]
[ 2251.34857856]
[ 2251.34857724]
[ 2251.34857617]
[ 2251.34857532]
[ 2251.34857464]
[ 2251.3485741]
[ 2251.34857366]
[ 2251.34857331]
[ 2251.34857303]
[ 2251.34857281]
[ 2251.34857263]
[ 2251.34857249]
[ 2251.34857238]
